#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
FS_1.CP_2.CP_1.TL_0.TRADE_3612.COPY_0,FxForward,2016-10-07,0.669399,-9727967.915371,EUR,-9727967.915371,EUR,22392479.59,22392479.59,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_5725.COPY_0,FxForward,2020-08-05,4.497268,-10739062.217407,EUR,-10739062.217407,EUR,58412986.37,58412986.37,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_5725.COPY_0,FxForward,2020-08-05,4.497268,12160237.494072,USD,10739062.217407,EUR,65956423.33,58248051.00,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_6492.COPY_0,FxForward,2020-01-09,3.926230,-5596157.182589,EUR,-5596157.182589,EUR,30071296.97,30071296.97,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_6492.COPY_0,FxForward,2020-01-09,3.926230,6336735.835661,USD,5596157.182589,EUR,33557326.94,29635459.18,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_2.TL_0.TRADE_7673.COPY_0,FxForward,2018-07-25,2.466015,-8733828.426893,EUR,-8733828.426893,EUR,58658762.02,58658762.02,FS_1.CP_1.CP_2.TL_0,FS_1.CP_2
FS_1.CP_2.CP_1.TL_0.TRADE_7673.COPY_0,FxForward,2018-07-25,2.466015,9889637.079422,USD,8733828.426893,EUR,67061180.01,59223694.02,FS_1.CP_2.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_22.TL_0.TRADE_1911.COPY_0,Swap,2022-03-07,6.082454,4263467.367657,EUR,4263467.367657,EUR,39759149.03,39759149.03,FS_1.CP_1.CP_22.TL_0,FS_1.CP_22
FS_1.CP_22.CP_1.TL_0.TRADE_1911.COPY_0,Swap,2022-03-07,6.082454,-4263467.367657,EUR,-4263467.367657,EUR,39759149.03,39759149.03,FS_1.CP_22.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_22.TL_0.TRADE_2690.COPY_0,FxForward,2019-03-28,3.139988,-8311636.162098,EUR,-8311636.162098,EUR,56579416.76,56579416.76,FS_1.CP_1.CP_22.TL_0,FS_1.CP_22
FS_1.CP_22.CP_1.TL_0.TRADE_2690.COPY_0,FxForward,2019-03-28,3.139988,9411573.156881,USD,8311636.162098,EUR,65583612.61,57918810.93,FS_1.CP_22.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_22.TL_0.TRADE_4977.COPY_0,Swap,2018-05-03,2.238618,-1131661.058205,EUR,-1131661.058205,EUR,47119200.04,47119200.04,FS_1.CP_1.CP_22.TL_0,FS_1.CP_22
FS_1.CP_22.CP_1.TL_0.TRADE_4977.COPY_0,Swap,2018-05-03,2.238618,1131661.058205,EUR,1131661.058205,EUR,47119200.04,47119200.04,FS_1.CP_22.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_22.TL_0.TRADE_5446.COPY_0,FxForward,2016-07-02,0.404372,-8561779.993202,EUR,-8561779.993202,EUR,29079616.97,29079616.97,FS_1.CP_1.CP_22.TL_0,FS_1.CP_22
FS_1.CP_22.CP_1.TL_0.TRADE_5446.COPY_0,FxForward,2016-07-02,0.404372,9694820.272162,USD,8561779.993202,EUR,33487302.31,29573618.38,FS_1.CP_22.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_22.TL_0.TRADE_6217.COPY_0,FxForward,2020-08-25,4.551913,-14983667.657621,EUR,-14983667.657621,EUR,88953151.03,88953151.03,FS_1.CP_1.CP_22.TL_0,FS_1.CP_22
FS_1.CP_22.CP_1.TL_0.TRADE_6217.COPY_0,FxForward,2020-08-25,4.551913,16966561.284428,USD,14983667.657621,EUR,102647933.76,90651399.50,FS_1.CP_22.CP_1.TL_0,FS_1.CP_1
